[ 1068217ms] [WARNING] The resource http://localhost:3000/flinttype-logo.svg was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/sign-in:0
[ 1077704ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[ 1077786ms] [LOG] [Fast Refresh] done in 189ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[ 1077970ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[ 1078084ms] [LOG] [Fast Refresh] done in 217ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[ 1078204ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[ 1078341ms] [LOG] [Fast Refresh] done in 243ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[ 1081356ms] [WARNING] The resource http://localhost:3000/flinttype-logo.svg was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/sign-in:0
[ 1085193ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[ 1085335ms] [LOG] [Fast Refresh] done in 252ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[ 1249122ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[ 1249182ms] [LOG] [Fast Refresh] done in 174ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[ 1282433ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[ 1282512ms] [LOG] [Fast Refresh] done in 146ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[ 1285498ms] [WARNING] The resource http://localhost:3000/flinttype-logo.svg was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/sign-in:0
[ 1288324ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[ 1288391ms] [LOG] [Fast Refresh] done in 173ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[ 1288592ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[ 1288676ms] [LOG] [Fast Refresh] done in 194ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[ 1288858ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[ 1288981ms] [LOG] [Fast Refresh] done in 227ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[ 1291728ms] [WARNING] The resource http://localhost:3000/flinttype-logo.svg was preloaded using link preload but not used within a few seconds from the window's load event. Please make sure it has an appropriate `as` value and it is preloaded intentionally. @ http://localhost:3000/sign-in:0
[ 1293606ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[ 1293670ms] [LOG] [Fast Refresh] done in 167ms @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
[ 1293871ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/00zq_next_dist_08wvll-._.js:2431
